Req ID,Feature Description,Nature,Status,Implementation Details / Scope
CD-01,"User registration (phone number + OTP, email/password)",BRD,Partially Completed,"Phone + OTP login is the primary flow in [auth.py](file:///var/www/ziggo/ziggo_backend/app/api/v1/auth.py). The admin account supports phone + password, but customer/driver registration is passwordless."
CD-02,"Profile management (name, photo, contact details, saved places)",BRD,Completed,Implemented via [edit_profile_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/customer/screens/edit_profile_screen.dart) and [customer.py:L33](file:///var/www/ziggo/ziggo_backend/app/api/v1/customer.py#L33) for profile updates; saved places in [customer.py:L87](file:///var/www/ziggo/ziggo_backend/app/api/v1/customer.py#L87).
CD-03,Ability to switch between Passenger Mode and Driver Mode using a button in the app.,BRD,Completed,Mode-toggle navigation state and active role checks are implemented in [main.dart](file:///var/www/ziggo/ziggo_app/lib/main.dart) and role-routing in [auth.py:L75-115](file:///var/www/ziggo/ziggo_backend/app/api/v1/auth.py#L75-L115).
CD-04,Set pickup and drop-off locations via GPS or map pin (integrating Google Maps API).,BRD,Completed,Managed via [choose_location_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/customer/screens/choose_location_screen.dart) and [location_search_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/customer/screens/location_search_screen.dart) using OSM tiles.
CD-05,Choose vehicle type (for passengers) and view fare estimate.,BRD,Completed,Implemented in [vehicle_selection_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/customer/screens/vehicle_selection_screen.dart) and [fare_estimate_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/customer/screens/fare_estimate_screen.dart). Calls `calculate_fare` in [fare_service.py:L84](file:///var/www/ziggo/ziggo_backend/app/services/fare_service.py#L84).
CD-06,View upfront fare estimate and confirm ride booking (for customers).,BRD,Completed,Price estimates load in [confirm_pickup_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/customer/screens/confirm_pickup_screen.dart) and execute in [booking_provider.dart](file:///var/www/ziggo/ziggo_app/lib/modules/customer/booking_provider.dart).
CD-07,Request a ride and match with the nearest available driver (for customers).,BRD,Completed,Dispatched by match-making loops in [bookings.py:L218](file:///var/www/ziggo/ziggo_backend/app/api/v1/bookings.py#L218) calling [matching_service.py:L28](file:///var/www/ziggo/ziggo_backend/app/services/matching_service.py#L28).
CD-08,Turn on/off availability (for drivers).,BRD,Completed,Offline/online toggle switch in [driver_home_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/driver/screens/driver_home_screen.dart) hits [driver.py:L359](file:///var/www/ziggo/ziggo_backend/app/api/v1/driver.py#L359).
CD-09,Accept or reject incoming ride requests (for drivers).,BRD,Completed,Handled via overlay sheets in [driver_home_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/driver/screens/driver_home_screen.dart) hitting [bookings.py:L700](file:///var/www/ziggo/ziggo_backend/app/api/v1/bookings.py#L700).
CD-10,"GPS navigation for pickups and drop-offs using Google Maps API, with turn-by-turn directions, picture-in-picture mini-map, speed display, mute, and incident reporting (for drivers).",BRD,Partially Completed,"Incident reporting complete in [driver.py:L482](file:///var/www/ziggo/ziggo_backend/app/api/v1/driver.py#L482) and overlays render. Live route lines on [ride_tracking_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/customer/screens/ride_tracking_screen.dart), but turn-by-turn directions, PiP, and speedometers are missing."
CD-11,"Collect payment (cash, card, or wallet) and confirm payment (for drivers).",BRD,Completed,Sliding trip completion card prompts checkout receipts and logs transactions on [driver_home_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/driver/screens/driver_home_screen.dart).
CD-12,"Payment processing via PayHere, supporting cash, card, and wallet for customers and drivers.",BRD,Completed,Integrated via [payhere_checkout_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/customer/screens/payhere_checkout_screen.dart) and transactional gateway stubs.
