Req ID,Feature Description,Nature(BRD/ additional),Status,Implementation Details
BO-01,Provide users a fast and reliable way to book rides or become drivers on-demand.,BRD,Completed,"The platform provides an on-demand mobility service that matches riders with nearby drivers. Registration is fast, and active ride bookings complete reliably."
BO-02,Enable users to switch between customer and driver roles via a button within the app.,BRD,Completed,The mobile app includes a quick role toggle button that allows a single user account to act as either a passenger or driver depending on active mode selection.
BO-03,Match ride requests efficiently and minimise wait times for both drivers and customers.,BRD,Completed,An automated dispatch engine filters available drivers in a radius to match bookings quickly and keep driver wait times low.
BO-04,Ensure safe and traceable trips with ratings and trip records for both customers and drivers.,BRD,Completed,"The system logs trip records and coordinates securely, allowing riders and drivers to rate each other and review completed trip details."
BO-05,Allow operations to monitor the platform centrally via the Admin Panel.,BRD,Completed,"A central admin panel allows operators to oversee active rides, verify drivers, manage accounts, and monitor metrics."
BO-06,"Support multiple payment methods (cash, digital wallet, credit/debit cards) through PayHere.",BRD,Completed,"The platform supports digital payments through PayHere, in-app wallet balances, and direct cash payments at trip completion."
BO-07,"Integrate Google Maps API for accurate location tracking, routing, and real-time ETA updates.",BRD,Completed,"Map APIs are fully integrated to display maps, search addresses, calculate turn-by-turn route paths, and estimate real-time arrivals."
BO-08,"Use Firebase for push notifications for ride status updates, promotions, and other relevant alerts.",BRD,Completed,"The notification system triggers push alerts for booking confirmations, driver arrivals, and promotional alerts."
BO-09,"Offer multi-service delivery (food, market, parcel Flash, basic truck) from a single app.",BRD,Completed,"The single super-app vertical supports ride-hailing, package deliveries, grocery shopping, restaurant orders, and moving trucks."
BO-10,Drive repeat use through a simple loyalty points system and promo codes.,BRD,Completed,Promos and checkout loyalty point rules drive user engagement by calculating and applying discounts to orders.
BO-11,Support basic business accounts for corporate ride and delivery bookings.,BRD,Completed,Corporate profile configuration enables businesses to link employee profiles and charge bookings directly to company expense accounts.
BO-12,Surface third-party events to increase engagement.,BRD,Completed,An event catalog allows users to discover local experiences and purchase tickets inside the mobile app.
CD-01,"User registration (phone number + OTP, email/password)",BRD,Partially Completed,"Users can register and sign in seamlessly on the mobile app using their phone number and a one-time verification code, while administrators access their accounts using a traditional phone and password setup. Static login and sign-up previews are also hosted on the website pages."
CD-02,"Profile management (name, photo, contact details, saved places)",BRD,Completed,"Profile details, profile pictures, and contact information are fully editable in the mobile app, with changes saving securely to the database. Users can save frequent destinations like home and work, and administrators can view and manage these profiles from the admin panel dashboard."
CD-03,Ability to switch between Passenger Mode and Driver Mode using a button in the app.,BRD,Completed,Users can toggle between passenger and driver modes with a single tap in the mobile app. The system handles active role validation automatically behind the scenes to show the appropriate screens and menus.
CD-04,Set pickup and drop-off locations via GPS or map pin (integrating Google Maps API).,BRD,Completed,"Passengers can select their pickup and drop-off locations by dragging a map pin or searching for addresses via GPS. Real-time driver positions plot on the admin live monitoring map, while the website displays a coverage map of active service zones."
CD-05,Choose vehicle type (for passengers) and view fare estimate.,BRD,Completed,Passengers can select their preferred vehicle class and see upfront fare estimates calculated from the current distance and traffic. The website homepage also features an interactive fare estimator to give prospective users pricing estimates.
